知识点ID,名称,所属课时,所属章节,子概念,对应题型,一级难度,二级难度,三级难度
L6_K1_dynamics,力度记号,L6,ch3,"8 级力度：ppp 到 fff；crescendo (cresc., <) 渐强；diminuendo (dim., >) 渐弱；sforzando (sf, sfz) 突强；forte-piano (fp)",主要：术语闪卡 + AI 导师；辅助：记谱练习,"8 级力度从弱到强排序；基本符号识别 (p, f, mp, mf)；中文翻译",渐强渐弱的两种写法；sf 与 fp 的区别；力度变化的应用,"罕见力度 (pppp, ffff)；复合力度术语；力度的音乐表现意义"
L6_K2_articulation,奏法记号,L6,ch3,连奏 legato (弧线)；断奏 staccato (圆点)；保持音 tenuto (短横线)；重音 accent (>)；跳音、拨奏等,主要：术语闪卡 + AI 导师；辅助：记谱练习,三种基本奏法的符号；中文名称；演奏方式简述,连奏 vs 断奏 vs 保持音的区别；重音 vs 突强的差异；奏法的乐器适配,"复合奏法 (mezzo-staccato 等)；弦乐特殊奏法 (spiccato, pizz.)；奏法的风格选择"
L7_K1_repeatSigns,反复记号,L7,ch4,𝄆 ... 𝄇 反复段落；百分号 ⁒ 重复前一小节；第一/第二结尾 (Volta)；bis、ter 标记；反复次数标注,主要：AI 导师 + 术语闪卡；辅助：记谱练习,识别 𝄆 与 𝄇 符号；基本反复的演奏顺序；百分号 ⁒ 的含义,第一/第二结尾的演奏；多次反复 (×3) 的标注；bis、ter 的拉丁语含义,复杂反复结构的演奏顺序推导；含变化反复的乐段；多重结尾 (1./2./3.)
L7_K2_dcDsCoda,D.C.、D.S.、Coda 与 Fine,L7,ch4,"D.C. (Da Capo) 从头；D.S. (Dal Segno) 从 𝄋 记号；Coda ⊕ 尾声；Fine 结束；常见组合 (al Fine, al Coda)",主要：AI 导师 + 术语闪卡；辅助：记谱练习,四个术语的中文含义；Fine 表示「结束」；D.C. 表示「从头」,D.C. al Fine 的演奏顺序；D.S. al Coda 的跳转；segno 与 coda 符号识别,复杂结构推导 (D.S. al Coda + 反复)；多个 Coda 的处理；现代乐谱中的变体用法
L8_K1_tempoTerms,速度术语,L8,ch4,"Largo (40-60), Adagio (66-76)；Andante (76-108), Moderato (108-120)；Allegro (120-156), Vivace (156-176)；Presto (168-200)；accel., rit., a tempo",主要：术语闪卡 + AI 导师；辅助：记谱练习,"5 个常见速度：Largo, Adagio, Andante, Allegro, Presto；中文翻译；按速度排序","完整 12 级速度术语；BPM 范围对应；速度变化记号 (accel., rit.)","罕见术语 (Larghissimo, Prestissimo)；意大利语词根分析；stringendo, allargando 等"
L8_K2_expressionTerms,表情术语,L8,ch4,dolce 甜美；cantabile 如歌；espressivo 富表情；con brio 有活力；maestoso 庄严,主要：术语闪卡 + AI 导师；辅助：AI 导师问答,5 个最常用表情术语；中文翻译；基本意境联想,10+ 表情术语；复合术语 (con brio e maestoso)；表情术语的乐曲风格匹配,"罕见表情术语 (appassionato, scherzando)；德语/法语表情术语对照；创作中如何选用"
L9_K1_timeSignatureMeter,拍号与强弱规律,L9,ch5,拍号上方=拍数，下方=拍单位；2/4 = 强弱；3/4 = 强弱弱；4/4 = 强弱次强弱；6/8 = 强弱弱次强弱弱,主要：节奏练习 (Rhythm Exercise)；辅助：AI 导师,识别 2/4、3/4、4/4 拍号；说出强弱规律；基本拍号含义,6/8、9/8 的强弱模式；4/4 拍的次强拍位置；拍号与音乐风格匹配,"混合拍子 (5/8, 7/8) 的强弱；复杂拍号的强弱推导；变拍号乐曲分析"
L9_K2_simpleCompound,单拍子与复拍子,L9,ch5,单拍子：每拍二等分；复拍子：每拍三等分；6/8 = 复二拍子 (3+3)；9/8 = 复三拍子 (3+3+3)；12/8 = 复四拍子,主要：节奏练习；辅助：AI 导师,判断单/复拍子；2/4、3/4 是单拍子；6/8 是复拍子,区分 6/8 (复二) 与 3/4 (单三)；复拍子的大拍数；9/8、12/8 的归类,"混合拍子 (5/8, 7/8) 的归类；单/复拍子的音乐律动差异；罕见拍号 (11/8, 15/8)"
L10_K1_noteGrouping,音值组合规则,L10,ch5,拍内清晰、拍间分明；4/4 拍的半小节中线；复拍子按 3+3 分组；符尾连接的规范；强拍位置的视觉突出,主要：节奏练习；辅助：AI 导师 + 记谱练习,识别正确 vs 错误的音值组合；4/4 拍中 8 个八分=4+4；基本组合规则,判断 6/8 vs 3/4 的组合方式；4/4 拍跨半小节的拆分；附点音符的组合位置,复杂混合节奏的组合；3+3+2 vs 2+3+3 的视觉差异；现代记谱中的特殊组合
L10_K2_crossBarTies,跨小节连音线,L10,ch5,长音超过小节时用连音线；4/4 拍中 5 拍 C 音的写法；不可能的附点形式；连音线连接的音高规则；切分中的连音线应用,主要：节奏练习；辅助：记谱练习,识别跨小节连音线；5 拍 = 1 拍 + 全音符 (连音线)；基本跨小节写法,7 拍、9 拍长音的写法；附点音符无法表达的时值；切分节奏中的连音线,复杂复合长音 (如 5.5 拍)；跨多个小节的连音线；复杂节奏的连音线优化
L11_K1_syncopationTypes,切分的三种形式,L11,ch5,弱拍延长 (连音线切分)；弱位重音 (>)；休止强拍 (强拍休止)；切分的本质：重音错位；切分 vs 规整节奏的对比,主要：节奏练习 (Rhythm Exercise)；辅助：AI 导师,识别切分节奏的存在；说出三种切分形式的名称；切分的基本概念,判断节奏属于哪种切分形式；演奏切分时的重音位置；切分的音乐效果,复合切分 (多种形式叠加)；切分 vs 三连音的辨析；隐藏切分的识别
L11_K2_classicSyncopation,经典切分型,L11,ch5,「短-长-短」型：八分+四分+八分；长-短-长 型；长前切分 (附点四分+八分)；长后切分 (八分+附点四分)；切分在不同风格中的应用,主要：节奏练习；辅助：AI 导师,识别「短-长-短」基本型；判断节奏型是否含切分；经典切分的视觉特征,演奏「短-长-短」切分；长前切分 vs 长后切分；切分在爵士、拉丁中的应用,复杂切分组合 (含十六分音符)；切分在古典作品中的运用；创作中如何运用切分
L12_K1_review,综合复习 1,L12,ch5,复习第 1-3 章所有知识点：；• 音的性质、音阶、律制；• 谱号、谱表、音符、休止符,AI 导师问答；所有题型的混合练习,基础概念的快速回顾,中等难度的综合应用题,易混淆概念的最终澄清
L12_K2_review,综合复习 2,L12,ch5,复习第 4-5 章所有知识点：；• 装饰音、演奏符号、术语；• 节奏、拍号、切分,AI 导师问答；所有题型的混合练习,基础概念的快速回顾,中等难度的综合应用题,易混淆概念的最终澄清
